id,experiment_id,timestamp,generator_name,prompt_strategy,benchmark_name,compiles,runs_successfully,line_coverage,branch_coverage,cyclomatic_complexity,coupling_between_objects,time_cost,token_cost,correction_distance
900,llama3-70b-8192_Java_0_humaneval_chain_of_thought_d7cb06c9,"2025-08-12 23:37:09","Groq Llama (llama3-70b-8192)",humaneval_chain_of_thought,humaneval,1,1,100.0,100.0,8,2,0.935700787,931,
901,llama3-70b-8192_Java_0_humaneval_role_playing_782cbf89,"2025-08-12 23:37:18","Groq Llama (llama3-70b-8192)",humaneval_role_playing,humaneval,1,1,100.0,100.0,10,2,1.247320526,1156,
902,llama3-70b-8192_Java_0_humaneval_constraint_based_c4f719ac,"2025-08-12 23:37:27","Groq Llama (llama3-70b-8192)",humaneval_constraint_based,humaneval,1,1,100.0,100.0,8,2,1.025074129,849,
903,llama3-70b-8192_Java_0_humaneval_guided_tree_of_thought_1fad5d10,"2025-08-12 23:37:35","Groq Llama (llama3-70b-8192)",humaneval_guided_tree_of_thought,humaneval,1,0,0.0,0.0,11,2,1.305046871,1196,
904,llama3-70b-8192_Java_1_humaneval_chain_of_thought_fc142dfe,"2025-08-12 23:37:44","Groq Llama (llama3-70b-8192)",humaneval_chain_of_thought,humaneval,1,1,100.0,100.0,9,2,0.956722781,961,
905,llama3-70b-8192_Java_1_humaneval_role_playing_7368edc5,"2025-08-12 23:37:52","Groq Llama (llama3-70b-8192)",humaneval_role_playing,humaneval,1,0,0.0,0.0,11,2,1.184583376,1126,
906,llama3-70b-8192_Java_1_humaneval_constraint_based_fbfd2482,"2025-08-12 23:38:00","Groq Llama (llama3-70b-8192)",humaneval_constraint_based,humaneval,1,0,0.0,0.0,9,2,0.794721022,797,
907,llama3-70b-8192_Java_1_humaneval_guided_tree_of_thought_d8d9dc6f,"2025-08-12 23:38:08","Groq Llama (llama3-70b-8192)",humaneval_guided_tree_of_thought,humaneval,1,1,100.0,100.0,12,2,1.201241339,1207,
908,llama3-70b-8192_Java_2_humaneval_chain_of_thought_86abfb14,"2025-08-12 23:40:02","Groq Llama (llama3-70b-8192)",humaneval_chain_of_thought,humaneval,1,0,0.0,0.0,5,0,0.755666715,768,
909,llama3-70b-8192_Java_2_humaneval_role_playing_9bf1321a,"2025-08-12 23:40:10","Groq Llama (llama3-70b-8192)",humaneval_role_playing,humaneval,1,0,0.0,0.0,7,0,1.190402522,1028,
910,llama3-70b-8192_Java_2_humaneval_constraint_based_3e3803f8,"2025-08-12 23:40:18","Groq Llama (llama3-70b-8192)",humaneval_constraint_based,humaneval,1,1,100.0,0.0,5,0,0.759048943,658,
911,llama3-70b-8192_Java_2_humaneval_guided_tree_of_thought_754cbb31,"2025-08-12 23:40:26","Groq Llama (llama3-70b-8192)",humaneval_guided_tree_of_thought,humaneval,1,0,0.0,0.0,7,0,1.09253481,1007,
912,llama3-70b-8192_Java_3_humaneval_chain_of_thought_f18145ca,"2025-08-12 23:40:34","Groq Llama (llama3-70b-8192)",humaneval_chain_of_thought,humaneval,1,1,100.0,100.0,7,2,0.794839773,837,
913,llama3-70b-8192_Java_3_humaneval_role_playing_9e3c8b5f,"2025-08-12 23:40:43","Groq Llama (llama3-70b-8192)",humaneval_role_playing,humaneval,1,1,100.0,100.0,9,2,1.156266654,1055,
914,llama3-70b-8192_Java_3_humaneval_constraint_based_7d9b68d9,"2025-08-12 23:40:51","Groq Llama (llama3-70b-8192)",humaneval_constraint_based,humaneval,1,1,100.0,100.0,7,2,0.745472774,731,
915,llama3-70b-8192_Java_3_humaneval_guided_tree_of_thought_c0dcd454,"2025-08-12 23:40:59","Groq Llama (llama3-70b-8192)",humaneval_guided_tree_of_thought,humaneval,1,1,100.0,100.0,10,2,1.026404991,1051,
916,llama3-70b-8192_Java_4_humaneval_chain_of_thought_f68fee69,"2025-08-12 23:44:19","Groq Llama (llama3-70b-8192)",humaneval_chain_of_thought,humaneval,1,0,0.0,0.0,8,2,1.06476825,962,
917,llama3-70b-8192_Java_4_humaneval_role_playing_42c35b83,"2025-08-12 23:44:27","Groq Llama (llama3-70b-8192)",humaneval_role_playing,humaneval,1,0,0.0,0.0,8,2,1.16055445,1093,
